#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-07-21T20:04:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-21T20:04:52	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-order=I&-out.src=J/ApJ/927/164/table4&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/927/164/table4&-out=[MMS2013]&-out=RAJ2000&-out=DEJ2000&-out=Age&-out=e16-Age&-out=e84-Age&-out=[Z/H]&-out=e16-[Z/H]&-out=e84-[Z/H]&-out=[a/Fe]&-out=e16-[a/Fe]&-out=e84-[a/Fe]&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19270164
#Name: J/ApJ/927/164
#Title: Stellar population properties from LEGA-C DR2 (Borghi+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/927/164	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/927/164	    IVOID of underlying data collection
#INFO	creator=Borghi N.	    First author or institution
#INFO	cites=bibcode:2022ApJ...927..164B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/927/164	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19270164	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_927_164_table4:
#Name: J/ApJ/927/164/table4
#Title: *Stellar ages, metallicities [Z/H], and [{alpha}/Fe] for 140 massive and passive galaxies at z~0.7
#Column	[MMS2013]	(I6)	[26438/259363] Object identifier (Muzzin+ 2013, J/ApJS/206/8)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	[149.7/150.8] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[1.7/2.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Age	(F6.3)	[1.2/6.1] Mean stellar age (single-burst star formation history) (1)	[ucd=time.age;stat.mean]
#Column	e16-Age	(F6.3)	[0.05/1.1] 16th percentile uncertainty in Age	[ucd=stat.error;time.age]
#Column	e84-Age	(F6.3)	[0.05/1.4] 84th percentile uncertainty in Age	[ucd=stat.error;time.age]
#Column	[Z/H]	(F6.3)	[-0.24/0.6] Mean stellar metallicity [Z/H] (1)	[ucd=phys.abund.Z;stat.mean]
#Column	e16-[Z/H]	(F6.3)	[0.01/0.15] 16th percentile uncertainty in [Z/H]	[ucd=stat.error;phys.abund.Z]
#Column	e84-[Z/H]	(F6.3)	[0.01/0.2] 84th percentile uncertainty in [Z/H]	[ucd=stat.error;phys.abund.Z]
#Column	[a/Fe]	(F6.3)	[-0.2/0.42] Mean stellar alpha-to-iron (1)	[ucd=phys.abund;stat.mean]
#Column	e16-[a/Fe]	(F6.3)	[0.007/0.11] 16th percentile uncertainty in [a/Fe]	[ucd=stat.error;phys.abund]
#Column	e84-[a/Fe]	(F6.3)	[0.009/0.12] 84th percentile uncertainty in [a/Fe]	[ucd=stat.error;phys.abund]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
[MMS2013]	RAJ2000	DEJ2000	Age	e16-Age	e84-Age	[Z/H]	e16-[Z/H]	e84-[Z/H]	[a/Fe]	e16-[a/Fe]	e84-[a/Fe]	Simbad
123161	150.20618	+02.24001	 1.580	 0.125	 0.072	 0.235	 0.018	 0.053	 0.028	 0.036	 0.033	Simbad
125149	150.35936	+02.26585	 3.917	 0.518	 0.552	-0.128	 0.041	 0.043	 0.316	 0.051	 0.052	Simbad
128311	150.05669	+02.30138	 3.184	 0.279	 0.334	 0.201	 0.038	 0.041	 0.118	 0.026	 0.030	Simbad
135659	149.99783	+02.38980	 1.724	 0.112	 0.073	 0.505	 0.035	 0.081	 0.157	 0.028	 0.029	Simbad
165871	149.85403	+02.28295	 1.729	 0.144	 0.093	 0.237	 0.033	 0.080	 0.111	 0.038	 0.039	Simbad
171079	149.89342	+02.34408	 3.570	 0.646	 0.915	-0.122	 0.072	 0.067	 0.085	 0.082	 0.081	Simbad
174876	149.89481	+02.38643	 3.116	 0.192	 0.211	 0.083	 0.026	 0.032	 0.044	 0.021	 0.023	Simbad
205715	150.01210	+02.45909	 3.042	 0.133	 0.143	 0.153	 0.023	 0.026	 0.187	 0.031	 0.028	Simbad
211347	150.03000	+02.53310	 3.102	 0.322	 0.342	-0.100	 0.037	 0.044	 0.061	 0.046	 0.049	Simbad
211767	150.05988	+02.53637	 2.909	 0.290	 0.249	 0.126	 0.040	 0.053	 0.041	 0.024	 0.024	Simbad
236682	149.87180	+02.47908	 3.256	 0.199	 0.254	 0.097	 0.028	 0.025	 0.179	 0.030	 0.032	Simbad
238668	149.88985	+02.50562	 2.495	 0.336	 0.383	-0.181	 0.062	 0.078	 0.117	 0.048	 0.063	Simbad
239469	149.88748	+02.51314	 2.621	 0.264	 0.264	 0.422	 0.032	 0.038	 0.286	 0.022	 0.022	Simbad
240174	149.88983	+02.52184	 3.203	 0.430	 0.470	 0.141	 0.053	 0.065	 0.066	 0.038	 0.046	Simbad
133205	149.92473	+02.36121	 2.922	 0.222	 0.120	 0.421	 0.025	 0.065	 0.135	 0.027	 0.027	Simbad
139384	149.97243	+02.43817	 2.428	 0.251	 0.167	 0.155	 0.041	 0.042	 0.120	 0.028	 0.031	Simbad
168753	149.76884	+02.31567	 3.339	 0.468	 0.587	-0.186	 0.056	 0.058	 0.119	 0.074	 0.071	Simbad
169076	149.78040	+02.31827	 5.720	 0.412	 0.261	-0.036	 0.016	 0.024	 0.169	 0.025	 0.024	Simbad
204775	149.99117	+02.45092	 2.104	 0.341	 0.464	-0.057	 0.111	 0.162	 0.091	 0.076	 0.076	Simbad
207397	149.95123	+02.48306	 4.967	 0.559	 0.623	-0.040	 0.039	 0.044	 0.076	 0.038	 0.040	Simbad
207735	149.94524	+02.48567	 5.222	 0.167	 0.129	 0.111	 0.012	 0.013	 0.199	 0.026	 0.022	Simbad
209040	149.90985	+02.50459	 4.757	 0.739	 0.487	 0.105	 0.036	 0.062	 0.199	 0.034	 0.039	Simbad
209322	149.92003	+02.50924	 3.851	 0.600	 0.753	 0.035	 0.067	 0.058	 0.108	 0.062	 0.065	Simbad
209821	149.91322	+02.51219	 3.141	 0.079	 0.156	 0.101	 0.026	 0.016	 0.056	 0.016	 0.018	Simbad
211401	149.92973	+02.53274	 3.770	 0.249	 0.158	-0.095	 0.015	 0.020	 0.174	 0.021	 0.020	Simbad
211736	149.94482	+02.53631	 3.902	 0.545	 0.650	-0.038	 0.053	 0.049	 0.099	 0.046	 0.050	Simbad
237437	149.79221	+02.48906	 5.394	 0.693	 0.693	-0.064	 0.040	 0.047	 0.207	 0.045	 0.044	Simbad
109259	149.99866	+02.06345	 3.640	 0.426	 0.606	-0.158	 0.054	 0.044	 0.338	 0.052	 0.059	Simbad
122025	150.06033	+02.22598	 1.754	 0.157	 0.173	 0.143	 0.087	 0.088	 0.059	 0.056	 0.054	Simbad
124233	149.99347	+02.25436	 2.879	 0.511	 0.447	 0.248	 0.074	 0.083	 0.215	 0.055	 0.067	Simbad
147270	149.87502	+02.06263	 2.390	 0.185	 0.365	 0.038	 0.101	 0.044	 0.146	 0.043	 0.044	Simbad
107960	149.92146	+02.04729	 3.081	 0.167	 0.219	 0.149	 0.029	 0.032	 0.209	 0.035	 0.036	Simbad
111975	149.94205	+02.09856	 3.986	 0.331	 0.281	 0.099	 0.029	 0.041	 0.287	 0.026	 0.022	Simbad
112827	149.95554	+02.11010	 2.644	 0.194	 0.141	-0.064	 0.028	 0.057	 0.234	 0.025	 0.027	Simbad
117992	149.94199	+02.17315	 6.094	 0.688	 0.665	-0.050	 0.026	 0.036	 0.389	 0.036	 0.036	Simbad
120781	149.98331	+02.21128	 1.776	 0.092	 0.167	 0.416	 0.109	 0.071	 0.078	 0.033	 0.035	Simbad
123261	149.95999	+02.23961	 4.616	 0.274	 0.288	 0.117	 0.028	 0.029	 0.244	 0.035	 0.037	Simbad
125017	149.99098	+02.26366	 3.245	 0.751	 0.850	-0.189	 0.083	 0.115	 0.079	 0.094	 0.099	Simbad
147539	149.77592	+02.06604	 3.884	 0.593	 0.534	-0.032	 0.045	 0.058	 0.166	 0.045	 0.046	Simbad
150848	149.75427	+02.10496	 2.402	 0.213	 0.207	 0.221	 0.039	 0.036	 0.118	 0.020	 0.024	Simbad
156118	149.74960	+02.16883	 3.020	 0.563	 0.622	 0.151	 0.079	 0.100	 0.352	 0.071	 0.083	Simbad
158934	149.76077	+02.20123	 1.743	 0.124	 0.097	 0.236	 0.049	 0.063	 0.202	 0.036	 0.033	Simbad
160400	149.80028	+02.21777	 5.861	 0.319	 0.322	 0.023	 0.017	 0.024	 0.281	 0.027	 0.026	Simbad
162149	149.78271	+02.23915	 2.793	 0.158	 0.253	-0.037	 0.045	 0.034	 0.078	 0.027	 0.033	Simbad
163989	149.79163	+02.26223	 1.716	 0.126	 0.133	 0.325	 0.059	 0.075	 0.171	 0.043	 0.042	Simbad
212391	150.09900	+02.54607	 3.628	 0.799	 0.760	-0.072	 0.064	 0.082	-0.052	 0.063	 0.066	Simbad
214324	150.29745	+02.56851	 4.438	 0.638	 0.719	-0.177	 0.047	 0.051	 0.259	 0.052	 0.051	Simbad
214899	150.12494	+02.57635	 2.927	 0.530	 0.475	 0.163	 0.066	 0.097	 0.324	 0.046	 0.063	Simbad
215424	150.26907	+02.58079	 2.773	 0.451	 0.676	-0.022	 0.085	 0.120	 0.065	 0.054	 0.070	Simbad
218701	150.09605	+02.62117	 1.915	 0.173	 0.335	 0.022	 0.108	 0.087	 0.095	 0.052	 0.050	Simbad
219831	150.27402	+02.63186	 2.150	 0.320	 0.267	-0.158	 0.065	 0.154	 0.101	 0.072	 0.069	Simbad
225431	150.11839	+02.69926	 2.892	 0.385	 0.374	 0.124	 0.064	 0.094	 0.243	 0.054	 0.053	Simbad
227965	150.10118	+02.72931	 2.285	 0.147	 0.154	 0.188	 0.032	 0.033	-0.003	 0.021	 0.021	Simbad
231276	150.34109	+02.77440	 3.939	 0.174	 0.144	 0.097	 0.023	 0.025	 0.238	 0.024	 0.019	Simbad
231544	150.34309	+02.78029	 2.385	 0.318	 0.328	 0.131	 0.084	 0.059	 0.094	 0.046	 0.052	Simbad
192617	150.37576	+02.62660	 2.340	 0.253	 0.296	 0.195	 0.058	 0.039	 0.130	 0.034	 0.036	Simbad
213772	150.18622	+02.55900	 3.688	 0.303	 0.351	 0.142	 0.040	 0.034	 0.119	 0.031	 0.042	Simbad
225441	150.18910	+02.69971	 1.209	 0.129	 0.132	 0.109	 0.065	 0.045	 0.076	 0.033	 0.034	Simbad
227516	150.21935	+02.72140	 4.349	 0.421	 0.472	 0.016	 0.037	 0.037	 0.269	 0.086	 0.089	Simbad
228215	150.22925	+02.73177	 5.053	 0.506	 0.241	 0.063	 0.022	 0.038	 0.226	 0.032	 0.030	Simbad
228380	150.22466	+02.73459	 5.426	 0.568	 0.670	-0.219	 0.033	 0.037	 0.248	 0.040	 0.040	Simbad
213004	150.02788	+02.55203	 3.004	 0.158	 0.142	 0.207	 0.020	 0.030	 0.165	 0.020	 0.027	Simbad
213141	150.00031	+02.55571	 2.510	 0.476	 0.581	 0.134	 0.128	 0.091	 0.169	 0.079	 0.087	Simbad
215585	150.05196	+02.58045	 2.800	 0.303	 0.340	 0.188	 0.051	 0.050	 0.057	 0.021	 0.020	Simbad
216353	149.99821	+02.59202	 2.919	 0.246	 0.336	 0.108	 0.044	 0.042	-0.070	 0.036	 0.037	Simbad
217260	150.04343	+02.60288	 3.513	 0.613	 0.624	 0.010	 0.049	 0.068	-0.142	 0.057	 0.060	Simbad
219324	150.07722	+02.62822	 2.889	 0.286	 0.350	 0.076	 0.051	 0.054	-0.119	 0.037	 0.039	Simbad
221163	150.06154	+02.64722	 4.680	 0.641	 0.715	-0.134	 0.053	 0.050	-0.127	 0.043	 0.045	Simbad
226721	150.01112	+02.71405	 2.473	 0.280	 0.222	 0.152	 0.050	 0.049	 0.117	 0.029	 0.034	Simbad
229551	150.04935	+02.75023	 4.073	 0.161	 0.151	-0.154	 0.015	 0.021	 0.141	 0.029	 0.033	Simbad
229591	149.99374	+02.75349	 2.497	 0.384	 0.464	 0.192	 0.082	 0.076	-0.032	 0.054	 0.051	Simbad
232962	150.04489	+02.79422	 5.570	 0.675	 0.854	-0.223	 0.047	 0.045	-0.024	 0.057	 0.051	Simbad
244738	149.88196	+02.57447	 4.420	 0.688	 0.668	-0.099	 0.042	 0.059	-0.026	 0.048	 0.048	Simbad
245252	149.87791	+02.57799	 3.079	 0.161	 0.170	 0.084	 0.020	 0.028	 0.066	 0.018	 0.020	Simbad
247826	149.89932	+02.61729	 5.256	 0.987	 1.035	 0.156	 0.064	 0.081	 0.416	 0.068	 0.054	Simbad
248829	149.85596	+02.62999	 2.402	 0.302	 0.384	-0.172	 0.062	 0.074	 0.091	 0.057	 0.065	Simbad
259363	149.89336	+02.76578	 3.106	 0.183	 0.237	 0.082	 0.035	 0.037	 0.191	 0.044	 0.044	Simbad
 91529	150.49440	+02.28218	 1.318	 0.059	 0.061	 0.107	 0.025	 0.012	 0.243	 0.021	 0.024	Simbad
 92258	150.64722	+02.29360	 4.605	 0.834	 0.710	-0.123	 0.047	 0.060	 0.255	 0.057	 0.048	Simbad
 92979	150.70879	+02.30597	 4.256	 0.492	 0.517	 0.032	 0.044	 0.052	 0.096	 0.047	 0.046	Simbad
 94982	150.63631	+02.33336	 3.739	 0.272	 0.625	-0.138	 0.052	 0.025	-0.148	 0.040	 0.048	Simbad
 95303	150.45276	+02.33918	 2.570	 0.323	 0.324	-0.044	 0.065	 0.087	 0.092	 0.043	 0.049	Simbad
 95323	150.64320	+02.34135	 2.237	 0.278	 0.511	 0.331	 0.082	 0.080	 0.163	 0.054	 0.058	Simbad
 97931	150.66483	+02.37928	 2.660	 0.186	 0.149	 0.217	 0.048	 0.023	 0.209	 0.020	 0.022	Simbad
180774	150.49973	+02.45531	 2.887	 0.411	 0.497	-0.036	 0.061	 0.106	 0.203	 0.059	 0.060	Simbad
181945	150.49603	+02.46960	 1.904	 0.053	 0.054	 0.110	 0.011	 0.010	 0.236	 0.018	 0.014	Simbad
183927	150.61508	+02.50037	 3.423	 0.777	 0.825	-0.092	 0.067	 0.114	 0.080	 0.071	 0.075	Simbad
185653	150.45287	+02.52242	 3.109	 0.297	 0.520	-0.014	 0.046	 0.043	-0.062	 0.054	 0.064	Simbad
213449	149.97467	+02.55552	 2.777	 0.159	 0.104	 0.175	 0.027	 0.033	 0.169	 0.022	 0.028	Simbad
215449	149.98245	+02.58122	 2.225	 0.062	 0.082	 0.404	 0.011	 0.011	 0.306	 0.007	 0.009	Simbad
215951	149.98904	+02.58780	 2.988	 0.121	 0.168	-0.004	 0.018	 0.037	 0.079	 0.024	 0.024	Simbad
216897	149.92725	+02.59917	 1.801	 0.081	 0.116	 0.307	 0.082	 0.016	-0.009	 0.017	 0.019	Simbad
219726	149.94386	+02.63265	 3.286	 0.523	 0.493	 0.202	 0.082	 0.089	 0.126	 0.057	 0.061	Simbad
230747	149.91354	+02.76922	 1.804	 0.143	 0.199	 0.218	 0.094	 0.074	 0.071	 0.054	 0.057	Simbad
231554	149.90155	+02.78086	 2.465	 0.368	 0.810	 0.362	 0.117	 0.083	 0.315	 0.068	 0.075	Simbad
243871	149.75658	+02.56753	 3.710	 0.505	 0.575	-0.104	 0.049	 0.045	 0.001	 0.045	 0.066	Simbad
246149	149.81857	+02.59288	 4.818	 0.508	 0.699	-0.076	 0.043	 0.038	-0.039	 0.037	 0.040	Simbad
 26438	150.27818	+01.76691	 2.797	 0.257	 0.396	-0.182	 0.054	 0.040	 0.074	 0.035	 0.058	Simbad
 31835	150.10934	+01.84161	 2.372	 0.262	 0.323	 0.303	 0.059	 0.046	 0.061	 0.030	 0.031	Simbad
 37322	150.26256	+01.91871	 2.066	 0.250	 0.368	-0.153	 0.091	 0.144	 0.114	 0.078	 0.081	Simbad
 37723	150.13266	+01.92339	 2.812	 0.228	 0.279	-0.039	 0.043	 0.056	 0.283	 0.049	 0.051	Simbad
 38648	150.12111	+01.93503	 1.454	 0.052	 0.053	 0.163	 0.022	 0.014	 0.006	 0.022	 0.019	Simbad
 74563	150.66780	+02.02363	 2.909	 0.133	 0.113	-0.028	 0.021	 0.027	 0.281	 0.030	 0.030	Simbad
 74882	150.69608	+02.02835	 3.508	 0.409	 0.533	-0.081	 0.045	 0.040	 0.231	 0.045	 0.047	Simbad
 75008	150.63889	+02.03201	 1.552	 0.120	 0.086	 0.237	 0.021	 0.054	 0.044	 0.023	 0.025	Simbad
 77632	150.45334	+02.06852	 2.968	 0.132	 0.146	 0.023	 0.025	 0.032	 0.251	 0.028	 0.028	Simbad
 77662	150.61674	+02.07185	 2.922	 0.236	 0.317	-0.096	 0.039	 0.041	 0.036	 0.044	 0.051	Simbad
 77745	150.45413	+02.07213	 2.926	 0.439	 0.214	 0.426	 0.032	 0.070	 0.236	 0.021	 0.022	Simbad
 86122	150.65790	+02.20054	 3.956	 0.496	 0.362	 0.089	 0.039	 0.044	 0.089	 0.052	 0.052	Simbad
 86907	150.45659	+02.21051	 2.420	 0.174	 0.275	 0.009	 0.078	 0.053	 0.119	 0.028	 0.024	Simbad
 88032	150.45322	+02.22835	 1.770	 0.061	 0.067	 0.555	 0.077	 0.034	 0.324	 0.031	 0.028	Simbad

